Model,Accuracy,Precision,Recall,F1,Log Loss,Training Time
Extra Trees,0.5652525252525252,0.5092141958464935,0.5652525252525252,0.49416189514373055,0.928210190804069,116.13
Random Forest,0.564040404040404,0.4985070120563031,0.564040404040404,0.49240183660355163,0.9328639085257044,45.42
Logistic Regression,0.5605387205387206,0.5265571457533359,0.5605387205387206,0.5342403584861738,0.931826723919924,173.52
CatBoost,0.5598653198653198,0.512126035563598,0.5598653198653198,0.5139398897894114,0.9298234765257825,30.23
LightGBM,0.5516498316498316,0.499915446188902,0.5516498316498316,0.5083663281257845,0.9400197792839546,19.08
XGBoost,0.5476094276094277,0.5071887461581276,0.5476094276094277,0.5153117105092431,0.9821290969848633,49.52
